,title,Running time,Budget,Box office,Release date,imdb,metascore,rotten_tomatoes,Directed by,Produced by,Music by,Distributed by,year
0,Pinocchio,88.0,2600000.0,164000000.0,1940-02-07,7.4,99.0,100,"['Ben Sharpsteen', 'Hamilton Luske', 'Bill Roberts', 'Norman Ferguson', 'Jack Kinney', 'Wilfred Jackson', 'T. Hee']",Walt Disney,"['Leigh Harline', 'Paul J. Smith']",RKO Radio Pictures,1940
1,Fantasia,126.0,2280000.0,83300000.0,1940-11-13,7.8,96.0,95,"['Samuel Armstrong', 'James Algar', 'Bill Roberts', 'Paul Satterfield', 'Ben Sharpsteen', 'David D. Hand', 'Hamilton Luske', 'Jim Handley', 'Ford Beebe', 'T. Hee', 'Norman Ferguson', 'Wilfred Jackson']","['Walt Disney', 'Ben Sharpsteen']",See program,"['Walt Disney Productions', 'RKO Radio Pictures']",1940
2,Dumbo,64.0,950000.0,1300000.0,1941-10-23,7.2,96.0,98,"['Supervising director:', 'Ben Sharpsteen', 'Sequence directors:', 'Norman Ferguson', 'Wilfred Jackson', 'Bill Roberts', 'Jack Kinney', 'Samuel Armstrong']",Walt Disney,"['Frank Churchill', 'Oliver Wallace']",RKO Radio Pictures,1941
3,Bambi,70.0,858000.0,267400000.0,1942-08-09,7.3,91.0,90,"['Supervising director', 'David Hand', 'Sequence directors', 'James Algar', 'Samuel Armstrong', 'Graham Heid', 'Bill Roberts', 'Paul Satterfield', 'Norman Wright']",Walt Disney,"['Frank Churchill', 'Edward H. Plumb']",RKO Radio Pictures,1942
4,Make Mine Music,75.0,1350000.0,3275000.0,1946-04-20,6.3,60.0,70,"['Jack Kinney', 'Clyde Geronimi', 'Hamilton Luske', 'Joshua Meador', 'Robert Cormack']",Walt Disney,"['Eliot Daniel', 'Ken Darby', 'Charles Wolcott', 'Oliver Wallace', 'Edward Plumb']","RKO Radio Pictures, Inc.",1946
5,Song of the South,94.0,2125000.0,65000000.0,1946-11-12,7.1,54.0,50,"['Live action:', 'Harve Foster', 'Animation:', 'Wilfred Jackson']",Walt Disney,"['Edward Plumb', 'Daniele Amfitheatrof', 'Paul J. Smith', 'Charles Wolcott']",RKO Radio Pictures,1946
6,Melody Time,75.0,1500000.0,2560000.0,1948-05-27,6.4,69.0,80,"['Jack Kinney', 'Clyde Geronimi', 'Hamilton Luske', 'Wilfred Jackson']",Walt Disney,"['Eliot Daniel', 'Paul J. Smith', 'Ken Darby']","RKO Radio Pictures, Inc.",1948
7,Cinderella,74.0,2900000.0,263600000.00000003,1950-02-15,6.9,67.0,84,"['Clyde Geronimi', 'Hamilton Luske', 'Wilfred Jackson']",Walt Disney,"['Oliver Wallace', 'Paul J. Smith']",RKO Radio Pictures,1950
8,Alice in Wonderland,75.0,3000000.0,5600000.0,1951-07-26,6.4,53.0,51,"['Clyde Geronimi', 'Wilfred Jackson', 'Hamilton Luske']",Walt Disney,Oliver Wallace,RKO Radio Pictures,1951
9,Peter Pan,77.0,4000000.0,87400000.0,1953-02-05,7.3,76.0,81,"['Clyde Geronimi', 'Wilfred Jackson', 'Hamilton Luske']",Walt Disney,Oliver Wallace,RKO Radio Pictures,1953
10,The Living Desert,69.0,300000.0,2600000.0,1953-11-10,7.5,69.0,74,James Algar,"['Ben Sharpsteen', 'Walt Disney']",Paul J. Smith,Buena Vista Distribution,1953
11,"20,000 Leagues Under the Sea",127.0,5000000.0,28200000.0,1954-12-23,7.2,83.0,89,Richard Fleischer,Walt Disney,"['Paul Smith', 'Joseph S. Dubin', '(orchestration)']",Buena Vista Distribution,1954
12,Lady and the Tramp,76.0,4000000.0,187000000.0,1955-06-22,7.3,78.0,93,"['Clyde Geronimi', 'Wilfred Jackson', 'Hamilton Luske']",Walt Disney,Oliver Wallace,Buena Vista Film Distribution,1955
13,Sleeping Beauty,75.0,6000000.0,51600000.0,1959-01-29,7.2,85.0,89,"['Clyde Geronimi (supervising)', 'Eric Larson', 'Wolfgang Reitherman', 'Les Clark']",Walt Disney,George Bruns (adapted from Tchaikovsky's Sleeping Beauty Ballet ),Buena Vista Distribution,1959
14,The Shaggy Dog,104.0,1000000.0,12300000.0,1959-03-19,4.4,43.0,26,Charles Barton,"['Walt Disney', 'Bill Walsh']",Paul J. Smith,Buena Vista Distribution,1959
15,Swiss Family Robinson,126.0,4000000.0,40000000.0,1960-12-21,7.2,61.0,82,"['John McKimson', 'Ken Annakin']","['Bill Anderson', 'Basil Keys', 'Walt Disney']","['William Alwyn', '(composer)', 'Muir Mathieson', '(conductor)']",Buena Vista Distribution,1960
16,One Hundred and One Dalmatians,79.0,3600000.0,303000000.0,1961-01-25,7.2,83.0,98,"['Clyde Geronimi', 'Hamilton Luske', 'Wolfgang Reitherman']",Walt Disney,George Bruns,Buena Vista Pictures Distribution,1961
17,Babes in Toyland,105.0,3000000.0,4600000.0,1961-12-14,6.3,55.0,36,Jack Donohue,Walt Disney,"['Victor Herbert', 'George Bruns', 'Mel Leven (new lyrics)']",Buena Vista Distribution,1961
