Name,IMDB 2-3,IMDB 3-4,IMDB 4-5,IMDB 5-6,IMDB 6-7,IMDB 7-8,IMDB 8-9
Leigh Harline,0,0,0,0,0,1,0
Paul J. Smith,0,0,1,0,2,3,0
Frank Churchill,0,0,0,0,0,2,0
Oliver Wallace,0,0,0,0,3,3,0
Edward H. Plumb,0,0,0,0,0,1,0
Charles Wolcott,0,0,0,0,1,1,0
Edward Plumb,0,0,0,0,1,1,0
Eliot Daniel,0,0,0,0,2,0,0
Ken Darby,0,0,0,0,2,0,0
Daniele Amfitheatrof,0,0,0,0,0,1,0
Joseph S. Dubin,0,0,0,0,0,1,0
Paul Smith,0,0,0,0,0,1,0
eorge Bruns (adapted from Tchaikovsky's Sleeping Beauty Ballet ,0,0,0,0,0,1,0
Muir Mathieson,0,0,0,0,0,1,0
William Alwyn,0,0,0,0,0,1,0
George Bruns,0,0,0,0,3,4,0
Mel Leven (new lyrics),0,0,0,0,1,0,0
Victor Herbert,0,0,0,0,1,0,0
Irwin Kostal (score),0,0,0,0,0,1,0
Richard M. Sherman (songs),0,0,0,0,0,1,0
Robert B. Sherman (songs),0,0,0,0,0,1,0
Irwin Kostal,0,0,0,0,1,1,0
Johnny Mandel,0,0,0,0,2,0,0
Artie Butler,0,0,0,0,1,0,0
John Barry,0,0,0,0,1,0,0
Harry Nilsson,0,0,0,1,0,0,0
Alex North,0,0,0,0,1,0,0
Buddy Baker,0,0,0,0,0,1,0
Pino Donaggio,0,0,0,0,1,0,0
David Shire,0,0,0,0,1,0,0
Elmer Bernstein,0,0,0,0,1,0,0
Henry Mancini,0,0,0,0,0,1,0
Alan Silvestri,0,0,0,1,3,1,0
J. A. C. Redford,0,0,1,0,1,1,0
James Horner,0,0,0,1,2,0,0
Basil Poledouris,0,0,0,0,1,0,0
Hans Zimmer,0,0,0,0,3,4,2
Alan Menken,0,0,1,1,2,4,3
Bruce Broughton,0,0,1,0,0,0,0
David Newman,0,0,1,1,1,0,0
Miles Goodman,0,0,0,0,0,1,0
Danny Elfman,0,0,0,1,4,1,1
Michael Kamen,0,0,0,2,0,0,0
Nicholas Pike,0,0,0,1,0,0,0
Randy Edelman,0,0,1,0,1,0,0
Michael Convertino,0,0,0,1,1,0,0
Mark Mancina,0,0,0,3,2,2,0
Randy Newman,0,0,0,0,2,6,3
Richard Gibbs,0,0,0,1,0,0,0
Marc Shaiman,0,0,0,1,1,0,0
Mike Tavera,0,0,1,0,0,0,0
Jerry Goldsmith,0,0,0,0,0,1,0
John Debney,0,0,2,6,1,2,0
Harry Gregson-Williams,0,0,0,0,4,2,0
James Newton Howard,0,0,0,1,2,2,0
Trevor Rabin,0,0,0,2,3,2,0
Denis M. Hannigan,0,0,0,0,1,0,0
Michael Wandmacher,0,0,0,1,0,0,0
Joel McNeely (Score),0,0,0,1,0,0,0
They Might Be Giants (Songs),0,0,0,1,0,0,0
Carter Burwell,0,0,0,0,2,0,0
Christopher Young,0,0,1,0,0,0,0
William Ross,0,0,0,0,1,0,0
George S. Clinton,0,0,1,1,0,0,0
Joel McNeely,0,0,0,1,2,1,0
Carl Johnson,0,0,0,0,1,0,0
Carly Simon,0,0,0,0,1,0,0
Cliff Eidelman,0,0,0,1,0,0,0
Thomas Newman,0,0,0,0,0,2,2
Klaus Badelt,0,0,0,0,0,0,1
Rolfe Kent,0,0,0,0,1,0,0
Phil Collins,0,0,0,0,1,0,0
Mark Isham,0,0,0,0,0,3,0
Mark Mothersbaugh,0,0,2,0,0,0,0
David A. Stewart,0,0,0,1,0,0,0
Trevor Jones,0,0,0,1,0,0,0
Alex Wurman (US),0,0,0,0,0,1,0
çºmilie Simon (France),0,0,0,0,0,1,0
Christophe Beck,0,0,0,0,4,2,0
George Fenton,0,0,0,1,0,1,1
Michael Giacchino,0,0,0,0,4,1,5
Brian Tyler,0,0,0,0,0,1,0
Philip Glass,0,0,0,0,0,1,0
Sigur R?s,0,0,0,0,0,1,0
Aaron Zigman,0,0,0,0,0,1,0
Nathan Wang,0,0,0,0,1,0,0
Berliner Philharmoniker,0,0,0,0,0,0,1
Jamie Houston,1,0,0,0,0,0,0
Matthew Gerrard,1,0,0,0,0,0,0
Miley Cyrus,1,0,0,0,0,0,0
Robbie Nevil,1,0,0,0,0,0,0
Tim James,1,0,0,0,0,0,0
Edward Shearmur,0,0,1,0,0,0,0
Heitor Pereira,0,2,0,0,0,0,0
John Powell,0,0,0,1,1,0,0
Rupert Gregson-Williams,0,0,0,0,1,0,0
Bruno Coulais,0,0,0,0,0,1,0
C­³cile Corbel,0,0,0,0,0,1,0
Nick Glennie-Smith,0,0,0,0,0,1,0
Daft Punk,0,0,0,0,1,0,0
Henry Jackman,0,0,0,0,0,4,0
Nicholas Hooper,0,0,0,0,0,2,0
Deborah Lurie,0,0,0,1,0,0,0
Patrick Doyle,0,0,0,0,1,1,0
Geoff Zanelli,0,0,0,0,3,0,0
Kristen Anderson-Lopez,0,0,0,0,1,1,0
Robert Lopez,0,0,0,0,1,1,0
A. R. Rahman,0,0,0,0,0,1,0
Stephen Sondheim,0,0,0,1,0,0,0
Ant±½nio Pinto,0,0,0,0,0,1,0
Jeff Danna,0,0,0,0,1,1,0
Mychael Danna,0,0,0,0,1,1,0
John Williams,0,0,0,0,1,0,0
Daniel Hart,0,0,0,0,1,0,0
Barnaby Taylor,0,0,0,0,0,1,0
Alex Heffes,0,0,0,0,0,1,0
Opetaia Foa'i,0,0,0,0,0,1,0
Lin-Manuel Miranda,0,0,0,0,0,1,0
Ramin Djawadi,0,0,1,0,0,0,0
