Name,IMDB 2-3,IMDB 3-4,IMDB 4-5,IMDB 5-6,IMDB 6-7,IMDB 7-8,IMDB 8-9
Walt Disney,0,0,1,0,5,15,0
Ben Sharpsteen,0,0,0,0,0,2,0
Bill Walsh,0,0,1,0,1,1,0
Basil Keys,0,0,0,0,0,1,0
Bill Anderson,0,0,0,0,0,1,0
Winston Hibler,0,0,0,0,0,1,0
Wolfgang Reitherman,0,0,0,0,2,2,0
Ron Miller,0,0,0,0,5,1,0
Ron W. Miller,0,0,0,0,2,0,0
Jerome Courtland,0,0,0,0,1,0,0
Robert Evans,0,0,0,1,0,0,0
Hal Barwood,0,0,0,0,1,0,0
Howard W. Koch,0,0,0,0,1,0,0
Art Stevens,0,0,0,0,0,1,0
Tim Zinnemann,0,0,0,0,1,0,0
Paul Maslansky,0,0,0,0,1,0,0
Joe Hale,0,0,0,0,1,0,0
Burny Mattinson,0,0,0,0,0,1,0
Dimitri Villard,0,0,0,0,1,0,0
Robert Wald,0,0,0,0,1,0,0
Penney Finkelman Cox,0,0,0,0,1,0,0
Markay Powell,0,0,0,0,1,0,0
Charles Gordon,0,0,0,0,1,0,0
Lawrence Gordon,0,0,0,0,1,0,0
Lloyd Levin,0,0,0,0,1,0,0
Don Hahn,0,0,0,1,2,0,2
Michael Finnell,0,0,0,0,0,1,0
Dawn Steel,0,0,1,0,0,1,0
Edward S. Feldman,0,0,2,0,0,0,0
Jon Avnet,0,0,0,2,1,0,0
Jordan Kerner,0,0,1,2,1,0,0
John Musker,0,0,0,0,0,2,1
Ron Clements,0,0,0,0,0,2,1
Brian Henson,0,0,0,0,0,2,0
Martin G. Baker,0,0,0,0,0,2,0
Jeffrey Bydalek,0,0,0,0,0,1,0
Susan B. Landau,0,0,0,0,0,1,0
Denise Di Novi,0,0,0,0,1,0,1
Tim Burton,0,0,0,0,3,0,1
Joe Roth,0,0,0,1,5,2,0
Roger Birnbaum,0,0,2,3,1,0,0
Craig Baumgarten,0,0,0,1,0,0,0
Gary Adelson,0,0,0,1,0,0,0
Tony Shimkin,0,0,0,1,0,0,0
Irby Smith,0,0,0,0,1,0,0
Brian Reilly,0,0,1,1,1,0,0
Jeffrey Silver,0,0,1,1,2,0,1
Robert Newmyer,0,0,1,1,1,0,0
Bonnie Bruckheimer,0,0,0,1,0,0,0
Marty Katz,0,0,0,1,0,0,0
Jim Pentecost,0,0,0,0,1,0,0
David Madden,0,0,0,1,0,0,0
Diane Nabatoff,0,0,0,1,0,0,0
J.P. Guerin,0,0,1,0,0,0,0
Peter Abrams,0,0,1,1,0,0,0
Robert L. Levy,0,0,1,1,0,0,0
Bonnie Arnold,0,0,0,0,0,1,1
Ralph Guggenheim,0,0,0,0,0,0,1
John Hughes,0,0,0,2,0,0,0
Ricardo Mestres,0,0,0,2,0,0,0
Brad Krevoy,0,0,0,1,0,0,0
Richard Baker,0,0,0,1,0,0,0
Alice Dewey,0,0,0,0,0,1,0
David Hoberman,0,2,1,1,1,2,1
Ben Myron,0,0,1,0,0,0,0
Pam Coats,0,0,0,0,0,1,0
Charles Shyer,0,0,0,0,1,0,0
Darla K. Anderson,0,0,0,0,0,2,3
Kevin Reher,0,0,0,0,1,1,0
Ted Hartley,0,0,0,1,0,0,0
Tom Jacobson,0,0,0,1,0,0,0
Jerry Leider,0,0,1,1,0,0,0
Marc Toberoff,0,0,0,1,0,0,0
Robert Shapiro,0,0,1,1,0,0,0
Aaron Meyerson,0,0,1,0,0,0,0
Andy Heyward,0,0,1,0,0,0,0
Helene Plotkin,0,0,0,0,0,1,0
Karen Robert Jackson,0,0,0,0,0,1,0
Donald W. Ernst,0,0,0,0,0,2,0
Roy E. Disney,0,0,0,0,0,1,0
Cheryl Abood,0,0,0,0,1,0,0
Pam Marsden,0,0,0,0,1,0,0
Chad Oman,0,0,0,0,0,1,0
Jerry Bruckheimer,0,0,0,1,6,4,1
Randy Fullmer,0,0,0,1,0,1,0
Joe Ansolabehere,0,0,0,0,1,0,0
Paul Germain,0,0,0,0,1,0,0
Stephen Swofford,0,0,0,0,1,0,0
Debra Martin Chase,0,0,0,1,1,0,0
Mario Iscovich,0,0,0,0,1,0,0
Whitney Houston,0,0,0,1,1,0,0
Mike Karz,0,0,0,1,0,0,0
Christopher Chase,0,0,0,2,0,0,0
Dan Rounds,0,0,0,1,0,0,0
Michelle Pappalardo-Robinson,0,0,0,1,1,0,0
Gordon Gray,0,0,0,0,2,5,0
Mark Ciardi,0,0,0,0,2,5,0
Mark Johnson,0,0,0,0,3,0,0
Clark Spencer,0,0,0,0,1,4,1
Andrew Gunn,0,0,2,2,3,0,0
Jeffrey Chernov,0,0,1,0,1,0,0
Jane Startz,0,0,0,0,1,0,0
Marc Abraham,0,0,0,0,1,0,0
Thomas Bliss,0,0,0,0,1,0,0
Roy Conli,0,0,0,0,0,4,0
Mary Thorne,0,0,0,1,0,0,0
Andrew Wight,0,0,0,0,1,0,0
Chuck Comisky,0,0,0,0,1,0,0
James Cameron,0,0,0,0,1,0,0
Janace Tashjian,0,0,0,0,1,0,0
John Bruno,0,0,0,0,1,0,0
Andrew Davis,0,0,0,0,0,1,0
Lowell D. Blank,0,0,0,0,0,1,0
Mike Medavoy,0,0,0,0,0,1,0
Teresa Tucker-Davies,0,0,0,0,0,1,0
Stan Rogow,0,0,0,1,0,0,0
Graham Walters,0,0,0,0,0,0,1
Chuck Williams,0,0,0,0,1,0,0
Greg O'Connor,0,0,0,0,0,1,0
Jon Mone,0,0,0,0,0,1,0
Justis Greene,0,0,0,0,0,1,0
Ross Greenburg,0,0,0,0,0,1,0
Alice Dewey Goldstone,0,0,0,1,0,0,0
Bill Badalato,0,0,0,1,0,0,0
Hal Lieberman,0,0,0,1,0,1,0
Jon Turteltaub,0,0,0,0,2,0,0
Christophe Lioud,0,0,0,0,0,1,0
Emmanuel Priou,0,0,0,0,0,1,0
Yves Darondeau,0,0,0,0,0,1,0
Jessica Koplos-Miller,0,0,0,0,1,0,0
Gary Barber,0,0,1,1,0,0,0
Jonathan Glickman,0,0,1,1,0,0,0
Bridget Johnson,0,0,0,0,1,0,0
Barnaby Thompson (executive producer),0,0,0,1,0,0,0
John H. Williams,0,0,0,1,0,0,0
Robert Simonds,0,0,1,0,0,0,0
David Blocker,0,0,1,0,0,1,0
Larry Brezner,0,0,0,0,0,1,0
Mark Frost,0,0,0,0,0,1,0
Phillip Steuer,0,0,0,0,1,0,0
Frank Marshall,0,0,0,0,1,1,0
George Butler,0,0,0,0,0,1,0
Patrick Crowley,0,0,0,0,0,1,0
Tim Allen,0,0,1,0,0,0,0
Beau Flynn,0,0,0,1,0,0,0
Clint Goldman,0,0,0,1,0,0,0
David L. Paterson,0,0,0,0,0,1,0
Lauren Levine,0,0,0,0,0,1,0
Brad Lewis,0,0,0,0,0,0,1
Jay Polstein,0,0,1,0,0,0,0
Alix Tidmarsh,0,0,0,0,0,2,1
Sophokles Tasioulius,0,0,0,0,0,0,1
Barry Josephson,0,0,0,0,0,1,0
Barry Sonnenfeld,0,0,0,0,0,1,0
Art Repola,1,0,0,0,0,0,0
Andrew Adamson,0,0,0,0,1,0,0
Philip Steuer,0,0,0,0,1,1,0
Jim Morris,0,0,0,0,1,0,1
John Jacobs,0,2,0,0,0,0,0
Ricardo Del R?o,0,2,0,0,0,0,0
Todd Lieberman,0,2,0,0,1,1,1
Adam Sandler,0,0,0,0,1,0,0
Jack Giarraputo,0,0,0,0,1,0,0
Alfred Gough,0,0,1,0,0,0,0
Billy Ray Cyrus,0,0,1,0,0,0,0
Michael Poryes,0,0,1,0,0,0,0
Miles Millar,0,0,1,0,0,0,0
Steven Peterman,0,0,1,0,0,0,0
Jonas Rivera,0,0,0,0,0,1,2
Jacques Perrin,0,0,0,0,0,1,0
Jake Eberts,0,0,0,0,0,1,0
Nicolas Mauvernay,0,0,0,0,0,1,0
Romain Legrand,0,0,0,0,0,1,0
Jack Rapke,0,0,0,1,1,0,0
Robert Zemeckis,0,0,0,1,1,0,0
Steve Starkey,0,0,0,1,1,0,0
Peter Del Vecho,0,0,0,0,1,3,0
Andrew Panay,0,0,0,1,0,0,0
Jennifer Todd,0,0,0,0,2,0,0
Richard D. Zanuck,0,0,0,0,1,0,0
Suzanne Todd,0,0,0,0,2,0,0
Toshio Suzuki,0,0,0,0,0,1,0
Sean Bailey,0,0,0,0,1,0,0
Steven Lisberger,0,0,0,0,1,0,0
Steven Boyd,0,0,0,1,0,0,0
Keith Scholey,0,0,0,0,0,1,0
Justin Springer,0,0,0,1,0,1,0
Ted Griffin,0,0,0,1,0,0,0
Jerry Bruckheimer ,0,0,0,0,1,0,0
Neal H. Moritz,0,0,0,0,1,0,0
Denise Ream,0,0,0,0,2,0,0
Colin Wilson,0,0,0,0,1,0,0
Lindsey Collins,0,0,0,0,1,1,0
Alastair Fothergill,0,0,0,0,0,2,0
Mark Linfield,0,0,0,0,0,2,0
Katherine Sarafian,0,0,0,0,0,1,0
Ahmet Zappa,0,0,0,0,1,0,0
James Whitaker,0,0,0,0,2,0,0
Scott Sanders,0,0,0,0,1,0,0
Allison Abbate,0,0,0,0,1,0,0
Kori Rae,0,0,0,0,0,2,0
Gore Verbinski,0,0,0,0,1,0,0
Tracy Balthazor-Flynn,0,0,0,1,0,0,0
Alison Owen,0,0,0,0,0,1,0
Ian Collie,0,0,0,0,0,1,0
Ferrell Barron,0,0,0,0,1,0,0
Dan Levine,0,0,0,0,1,0,0
Lisa Henson,0,0,0,0,1,0,0
Shawn Levy,0,0,0,0,1,0,0
Callum McDougall,0,0,0,1,0,0,0
John DeLuca,0,0,0,1,1,0,0
Marc Platt,0,0,0,1,1,0,0
Rob Marshall,0,0,0,1,1,0,0
Allison Shearmur,0,0,0,0,1,0,0
David Barron,0,0,0,0,1,0,0
Simon Kinberg,0,0,0,0,1,0,0
Brad Bird,0,0,0,0,1,0,0
Damon Lindelof,0,0,0,0,1,0,0
Dorothy Aufiero,0,0,0,0,1,0,0
Jim Whitaker,0,0,1,0,1,0,0
Brigham Taylor,0,0,0,0,0,1,0
Jon Favreau,0,0,0,0,0,1,1
Sam Mercer,0,0,0,0,1,0,0
Steven Spielberg,0,0,0,0,1,0,0
Brian Leith,0,0,0,0,0,1,0
Phil Chapman,0,0,0,0,0,1,0
John Carls,0,0,0,0,0,1,0
Lydia Dean Pilcher,0,0,0,0,0,1,0
Osnat Shurer,0,0,0,0,0,1,0
Catherine Hand,0,0,1,0,0,0,0
John Walker,0,0,0,0,0,1,0
Nicole Paradis Grindle,0,0,0,0,0,1,0
Larry Franco,0,0,0,1,0,0,0
Mark Gordon,0,0,0,1,0,0,0
