,title,Running time,Budget,Box office,Release date,imdb,metascore,rotten_tomatoes,Directed by,Produced by,Music by,Distributed by,score,date,year,Description
0,WALL-E,97,180000000,533300000,23/06/2008,8.4,95,95%,Andrew Stanton,Jim Morris,Thomas Newman,Walt Disney Studios Motion Pictures,89.5,23/06/2008,2008,"WALL-E is set in the far future where humans have left Earth on a giant ship called the Axiom because of all the garbage pile-up. The only known inhabits now are an adorable robot named WALL-E, who must keep up the mess and his cockroach friend Hal. However, all that changes when WALL-E meets a robot named EVE and falls in love with her. Soon the two robots are heading into space and onto the Axiom on a mission that could bring humankind back to Earth."
1,Toy Story,81,30000000,373600000,19/11/1995,8.3,95,100%,John Lasseter,"['Bonnie Arnold', 'Ralph Guggenheim']",Randy Newman,Buena Vista Pictures Distribution,89,19/11/1995,1995,"Set in a world where toys come alive, the world's first computer-animated movie focuses on the toys of a little boy named Andy Davis and centers on his favorite toy, a pull-string cowboy doll named Woody, worrying about being replaced by Andy's newest toy, a space ranger named Buzz Lightyear. When Woody and Buzz are suddenly trapped in the house of Andy's toy-killing neighbor Sid Phillips and his vicious dog Scud, they must work together to escape if they ever want to return to Andy's house."
2,Ratatouille,111,150000000,620700000,22/06/2007,8,96,96%,Brad Bird,Brad Lewis,Michael Giacchino,Buena Vista Pictures Distribution,88,22/06/2007,2007,"Ratatouille is set in Paris, France, and focuses on a rat named Remy who dreams of being a chef. He sets out to make his dreams come true, and soon he and a young human chef named Alfredo Linguini end up working together in a race to foil the schemes of Chef Skinner."
3,Inside Out,94,175000000,858000000,18/05/2015,8.1,94,98%,Pete Docter,Jonas Rivera,Michael Giacchino,"['Walt Disney Studios', 'Motion Pictures']",87.5,18/05/2015,2015,"The story of Inside Out centers on an 11-year-old girl named Riley Andersen moving to San Francisco and her five emotions Joy, Sadness, Fear, Disgust. and Anger trying to help her cope with her new life. The five emotions live in headquarters and control how Riley feels. When Joy and Sadness are accidentally kicked out of headquarters, they go on a wild journey to get back."
4,Beauty and the Beast 2,129,160000000,1264000000,23/02/2017,8,95,94%,Bill Condon,"['David Hoberman', 'Todd Lieberman']",Alan Menken,"['Walt Disney Studios', 'Motion Pictures']",87.5,23/02/2017,2017,"Cursed to be a Beast (Dan Stevens) until a beautiful maiden loves him, a Prince lies under a coat of thick, brown fur in his lonely castle with only his enchanted servants to look after him and keep him company. When a young village girl named Belle (Emma Watson) comes in search of her imprisoned father, Maurice (Kevin Kline), the Beast takes her in his place. Over time, Belle sees beyond the furry coat and she befriends him. The two spend long days together in the snow and the sun and gradually they fall in love. Belle must love the Beast before the last petal falls, but when it falls, she must find a way to get to the Beast before it's too late."
5,Toy Story 3,103,200000000,1067000000,12/06/2010,8.3,92,98%,Lee Unkrich,Darla K. Anderson,Randy Newman,"['Walt Disney Studios', 'Motion Pictures']",87.5,12/06/2010,2010,"Andy is preparing for college. Woody, Buzz, and their friends knew Andy would grow up eventually but they're all worried about what will happen to them now that he has. Sure enough, Andy plans to store his toys in the attic, but when his mother accidentally donates them to a daycare, Andy's toys must get home to him before he leaves."
6,Beauty and the Beast 1,84,25000000,440100000,29/09/1991,8,95,94%,"['Gary Trousdale', 'Kirk Wise']",Don Hahn,Alan Menken,Buena Vista Pictures,87.5,29/09/1991,1991,"Beauty and the Beast focuses on the relationship between the Beast (voice of Robby Benson), a prince who is magically transformed into a monster and his servants into household objects as punishment for his arrogance, and Belle (voice of Paige O'Hara), a young woman whom he imprisons in his castle."
7,Fantasia,126,2280000,83300000,13/11/1940,7.8,96,95%,"['Samuel Armstrong', 'James Algar', 'Bill Roberts', 'Paul Satterfield', 'Ben Sharpsteen', 'David D. Hand', 'Hamilton Luske', 'Jim Handley', 'Ford Beebe', 'T. Hee', 'Norman Ferguson', 'Wilfred Jackson']","['Walt Disney', 'Ben Sharpsteen']",See program,"['Walt Disney Productions', 'RKO Radio Pictures']",87,13/11/1940,1940,"Disney animators set pictures to Western classical music as Leopold Stokowski conducts the Philadelphia Orchestra. ""The Sorcerer's Apprentice"" features Mickey Mouse as an aspiring magician who oversteps his limits. ""The Rite of Spring"" tells the story of evolution, from single-celled animals to the death of the dinosaurs. ""Dance of the Hours"" is a comic ballet performed by ostriches, hippos, elephants, and alligators. ""Night on Bald Mountain"" and ""Ave Maria"" set the forces of darkness and light against each other as a devilish revel is interrupted by the coming of a new day."
8,Pinocchio,88,2600000,164000000,07/02/1940,7.4,99,100%,"['Ben Sharpsteen', 'Hamilton Luske', 'Bill Roberts', 'Norman Ferguson', 'Jack Kinney', 'Wilfred Jackson', 'T. Hee']",Walt Disney,"['Leigh Harline', 'Paul J. Smith']",RKO Radio Pictures,86.5,07/02/1940,1940,"Walt Disney's adaptation of Carlo Collodi's 1883 namesake children's story, embraces the desire of a freshly-carved wooden puppet to become a real boy; to talk and walk without strings. Extraordinarily, this fervent yearning for a full life becomes real when the angelic Blue Fairy hears the wish of the kindly puppet-maker, Geppetto, and decides to vitalise Pinocchio, his inanimate creation. However, as all human beings are incomplete without a conscience, the minuscule but wise, Jiminy Cricket, becomes Pinocchio's faithful companion, and the voice of reason--an unshakable supporter who will guide the gullible boy through life's distractions. In the end, will Pinocchio lead an unselfish, honest, and brave life?"
9,The Lion King 2,118,250000000,1657000000,09/07/2019,8.5,88,93%,Jon Favreau,"['Jon Favreau', 'Jeffrey Silver', 'Karen Gilchrist']",Hans Zimmer,"['Walt Disney Studios', 'Motion Pictures']",86.5,09/07/2019,2019,"In Africa, the lion cub Simba is the pride and joy of his parents King Mufasa and Queen Sarabi. Mufasa prepares Simba to be the next king of the jungle. However, the naive Simba believes in his envious uncle Scar that wants to kill Mufasa and Simba to become the next king. He lures Simba and his friend Nala to go to a forbidden place and they are attacked by hyenas but they are rescued by Mufasa. Then Scar plots another scheme to kill Mufasa and Simba but the cub escapes alive and leaves the kingdom believing he was responsible for the death of his father. Now Scar becomes the king supported by the evil hyenas while Simba grows in a distant land. Sometime later, Nala meets Simba and tells that the kingdom has become a creepy wasteland. What will Simba do?"
