Name,imdb2,imdb3,imdb4,imdb5,imdb6,imdb7,imdb8
Ben Sharpsteen,0,0,0,0,0,3,0
Bill Roberts,0,0,0,0,0,4,0
Hamilton Luske,0,0,0,0,4,5,0
Jack Kinney,0,0,0,0,2,2,0
Norman Ferguson,0,0,0,0,0,3,0
T. Hee,0,0,0,0,0,2,0
Wilfred Jackson,0,0,0,0,3,6,0
David D. Hand,0,0,0,0,0,1,0
Ford Beebe,0,0,0,0,0,1,0
James Algar,0,0,0,0,0,5,0
Jim Handley,0,0,0,0,0,1,0
Paul Satterfield,0,0,0,0,0,2,0
Samuel Armstrong,0,0,0,0,0,3,0
David Hand,0,0,0,0,0,1,0
Graham Heid,0,0,0,0,0,1,0
Norman Wright,0,0,0,0,0,1,0
Clyde Geronimi,0,0,0,0,4,3,0
Joshua Meador,0,0,0,0,1,0,0
Robert Cormack,0,0,0,0,1,0,0
Harve Foster,0,0,0,0,0,1,0
Richard Fleischer,0,0,0,0,0,1,0
Clyde Geronimi (supervising),0,0,0,0,0,1,0
Eric Larson,0,0,0,0,0,1,0
Les Clark,0,0,0,0,0,1,0
Wolfgang Reitherman,0,0,0,0,2,5,0
Charles Barton,0,0,1,0,0,0,0
John McKimson,0,0,0,0,0,1,0
Ken Annakin,0,0,0,0,0,1,0
Jack Donohue,0,0,0,0,1,0,0
Robert Stevenson,0,0,0,0,1,2,0
Gary Nelson,0,0,0,0,3,0,0
Art Stevens,0,0,0,0,1,1,0
John Lounsbery,0,0,0,0,1,0,0
Don Chaffey,0,0,0,0,1,0,0
Robert Altman,0,0,0,1,0,0,0
Matthew Robbins,0,0,0,0,1,0,0
Richard Rich,0,0,0,0,1,1,0
Ted Berman,0,0,0,0,1,1,0
Tim Hunter,0,0,0,0,1,0,0
Walter Murch,0,0,0,0,1,0,0
Burny Mattinson,0,0,0,0,0,1,0
Dave Michener,0,0,0,0,0,1,0
John Musker,0,0,0,0,0,5,1
Ron Clements,0,0,0,0,0,5,1
Randal Kleiser,0,0,1,0,2,0,0
George Scribner,0,0,0,0,1,0,0
Joe Johnston,0,0,0,1,2,0,0
Gary Trousdale,0,0,0,0,2,0,1
Kirk Wise,0,0,0,0,2,0,1
Kenny Ortega,0,0,0,0,0,1,0
Stephen Herek,0,0,0,2,1,0,0
Brian Henson,0,0,0,0,0,2,0
Jon Turteltaub,0,0,0,0,3,1,0
